end_dttm,room,start_dttm,id
2019-01-19 19:47:00,Operating Room #3,2019-01-19 14:44:00,72
2019-01-13 12:20:00,Operating Room #4,2019-01-13 10:25:00,73
2019-01-13 12:54:00,Operating Room #6,2019-01-13 12:07:00,74
2019-01-15 13:40:00,Operating Room #6,2019-01-15 13:16:00,75
2019-01-11 18:18:00,Operating Room #6,2019-01-11 15:45:00,76
2019-01-14 23:35:00,Operating Room #4,2019-01-14 17:54:00,77
2019-01-17 01:01:00,Operating Room #4,2019-01-16 19:56:00,78
2019-01-13 23:51:00,Operating Room #6,2019-01-13 20:13:00,79
2019-01-20 23:57:00,Operating Room #4,2019-01-20 21:21:00,80
2019-01-13 04:57:00,Operating Room #6,2019-01-13 03:37:00,81
2019-01-30 02:11:00,Operating Room #4,2019-01-30 01:23:00,82
2019-01-09 21:42:00,Operating Room #3,2019-01-09 17:17:00,83
2019-01-26 00:59:00,Operating Room #2,2019-01-25 23:02:00,84
2019-01-10 03:56:00,Operating Room #5,2019-01-10 00:38:00,85
2019-01-20 13:02:00,Operating Room #3,2019-01-20 09:05:00,86
2019-01-19 15:03:00,Operating Room #4,2019-01-19 09:39:00,87
2019-01-21 23:29:00,Operating Room #4,2019-01-21 17:38:00,88
2019-01-08 14:14:00,Operating Room #2,2019-01-08 12:06:00,89
2019-01-29 10:07:00,Operating Room #6,2019-01-29 09:50:00,90
2019-01-01 23:44:00,Operating Room #4,2019-01-01 22:12:00,91
2019-01-07 20:32:00,Operating Room #6,2019-01-07 18:03:00,92
2019-01-28 10:53:00,Operating Room #3,2019-01-28 05:05:00,93
2019-01-20 04:22:00,Operating Room #5,2019-01-20 01:26:00,94
2019-01-01 10:22:00,Operating Room #5,2019-01-01 08:00:00,95
2019-01-10 10:58:00,Operating Room #2,2019-01-10 07:29:00,96
2019-01-25 17:48:00,Operating Room #2,2019-01-25 14:03:00,97
2019-01-05 18:41:00,Operating Room #1,2019-01-05 13:07:00,98
2019-01-23 22:36:00,Operating Room #4,2019-01-23 21:05:00,99
2019-01-04 03:29:00,Operating Room #3,2019-01-04 03:06:00,100
2019-01-18 21:03:00,Operating Room #1,2019-01-18 19:55:00,101
2019-01-29 21:05:00,Operating Room #4,2019-01-29 18:07:00,102
2019-01-02 17:50:00,Operating Room #3,2019-01-02 15:48:00,103
2019-01-21 14:54:00,Operating Room #3,2019-01-21 10:47:00,104
2019-01-31 14:13:00,Operating Room #4,2019-01-31 11:10:00,105
2019-01-14 04:24:00,Operating Room #4,2019-01-14 03:03:00,106
2019-01-29 08:34:00,Operating Room #4,2019-01-29 03:22:00,107
2019-01-06 00:54:00,Operating Room #2,2019-01-05 19:56:00,108
2019-01-10 17:56:00,Operating Room #3,2019-01-10 16:59:00,109
2019-01-13 00:18:00,Operating Room #5,2019-01-12 18:25:00,110
2019-01-31 02:29:00,Operating Room #1,2019-01-30 21:18:00,111
2019-01-29 14:16:00,Operating Room #4,2019-01-29 09:16:00,112
2019-01-10 18:40:00,Operating Room #6,2019-01-10 13:49:00,113
2019-01-06 06:29:00,Operating Room #5,2019-01-06 05:14:00,114
2019-01-05 07:26:00,Operating Room #6,2019-01-05 03:26:00,115
2019-01-04 07:26:00,Operating Room #5,2019-01-04 03:31:00,116
2019-01-02 22:26:00,Operating Room #4,2019-01-02 17:21:00,117
2019-01-02 14:35:00,Operating Room #5,2019-01-02 09:14:00,118
2019-01-29 12:08:00,Operating Room #1,2019-01-29 09:16:00,119
2019-01-19 09:12:00,Operating Room #5,2019-01-19 08:25:00,120
2019-01-04 23:05:00,Operating Room #5,2019-01-04 21:34:00,121
2019-01-25 08:16:00,Operating Room #2,2019-01-25 06:23:00,122
2019-01-24 08:38:00,Operating Room #4,2019-01-24 07:30:00,123
2019-01-11 01:38:00,Operating Room #6,2019-01-10 21:09:00,124
2019-01-08 15:58:00,Operating Room #1,2019-01-08 15:10:00,125
2019-01-15 02:33:00,Operating Room #6,2019-01-15 02:09:00,126
2019-01-03 19:12:00,Operating Room #1,2019-01-03 17:48:00,127
2019-01-03 05:59:00,Operating Room #5,2019-01-03 02:15:00,128
2019-01-21 03:38:00,Operating Room #2,2019-01-20 23:40:00,129
2019-01-11 15:57:00,Operating Room #1,2019-01-11 11:22:00,130
2019-01-31 21:46:00,Operating Room #2,2019-01-31 18:55:00,131
2019-01-12 17:36:00,Operating Room #1,2019-01-12 16:23:00,132
2019-01-08 01:53:00,Operating Room #1,2019-01-07 23:11:00,133
2019-02-01 15:18:00,Operating Room #6,2019-02-01 10:51:00,134
2019-01-25 11:09:00,Operating Room #6,2019-01-25 07:27:00,135
2019-01-12 17:10:00,Operating Room #3,2019-01-12 11:20:00,136
2019-01-17 15:00:00,Operating Room #3,2019-01-17 09:10:00,137
2019-01-13 11:04:00,Operating Room #6,2019-01-13 09:54:00,138
2019-01-13 06:30:00,Operating Room #1,2019-01-13 02:45:00,139
2019-01-03 21:35:00,Operating Room #5,2019-01-03 21:02:00,140
2019-01-05 12:09:00,Operating Room #3,2019-01-05 07:20:00,141
2019-01-15 15:32:00,Operating Room #3,2019-01-15 14:50:00,142
2019-01-04 14:22:00,Operating Room #3,2019-01-04 11:51:00,143
2019-01-01 22:13:00,Operating Room #1,2019-01-01 18:46:00,144
2019-01-20 18:58:00,Operating Room #4,2019-01-20 14:45:00,145
2019-01-05 03:27:00,Operating Room #3,2019-01-04 23:03:00,146
2019-01-07 10:32:00,Operating Room #1,2019-01-07 06:57:00,147
2019-01-09 06:27:00,Operating Room #4,2019-01-09 04:00:00,148
2019-01-21 19:44:00,Operating Room #3,2019-01-21 15:41:00,149
2019-01-12 00:15:00,Operating Room #2,2019-01-11 18:40:00,150
2019-01-09 07:46:00,Operating Room #3,2019-01-09 05:46:00,151
2019-01-24 07:53:00,Operating Room #5,2019-01-24 03:45:00,152
2019-01-17 06:59:00,Operating Room #2,2019-01-17 04:51:00,153
2019-01-19 02:39:00,Operating Room #3,2019-01-19 01:09:00,154
2019-01-10 08:56:00,Operating Room #6,2019-01-10 08:06:00,155
2019-01-08 19:59:00,Operating Room #1,2019-01-08 18:17:00,156
2019-01-13 04:06:00,Operating Room #5,2019-01-13 00:23:00,157
2019-01-16 00:42:00,Operating Room #5,2019-01-15 22:58:00,158
2019-01-09 16:57:00,Operating Room #4,2019-01-09 16:12:00,159
2019-01-16 10:03:00,Operating Room #1,2019-01-16 08:16:00,160
2019-01-04 13:27:00,Operating Room #5,2019-01-04 10:18:00,161
2019-01-14 05:59:00,Operating Room #1,2019-01-14 03:17:00,162
2019-01-12 06:21:00,Operating Room #5,2019-01-12 04:13:00,163
2019-01-31 05:10:00,Operating Room #6,2019-01-31 00:24:00,164
2019-01-14 16:22:00,Operating Room #2,2019-01-14 12:10:00,165
2019-01-01 10:56:00,Operating Room #4,2019-01-01 10:24:00,166
2019-01-02 15:45:00,Operating Room #6,2019-01-02 14:24:00,167
2019-01-30 12:15:00,Operating Room #3,2019-01-30 08:34:00,168
2019-01-05 00:32:00,Operating Room #2,2019-01-04 19:58:00,169
2019-02-02 03:22:00,Operating Room #4,2019-02-01 21:39:00,170
2019-01-11 21:25:00,Operating Room #6,2019-01-11 18:20:00,171
2019-01-28 06:23:00,Operating Room #6,2019-01-28 04:44:00,172
2019-01-27 21:49:00,Operating Room #2,2019-01-27 20:32:00,173
2019-01-15 19:24:00,Operating Room #2,2019-01-15 13:24:00,174
2019-01-17 02:46:00,Operating Room #6,2019-01-17 02:23:00,175
2019-01-21 10:29:00,Operating Room #4,2019-01-21 05:39:00,176
2019-01-12 20:11:00,Operating Room #6,2019-01-12 19:16:00,177
2019-01-31 10:29:00,Operating Room #6,2019-01-31 05:48:00,178
2019-01-31 20:14:00,Operating Room #4,2019-01-31 18:08:00,179
2019-01-07 21:50:00,Operating Room #6,2019-01-07 20:37:00,180
2019-01-27 16:55:00,Operating Room #2,2019-01-27 14:48:00,181
2019-01-19 00:12:00,Operating Room #6,2019-01-18 22:29:00,182
2019-01-09 04:54:00,Operating Room #5,2019-01-09 01:36:00,183
2019-01-19 04:07:00,Operating Room #1,2019-01-19 01:51:00,184
2019-01-17 14:24:00,Operating Room #4,2019-01-17 11:43:00,185
2019-01-09 07:03:00,Operating Room #1,2019-01-09 05:50:00,186
2019-01-20 05:27:00,Operating Room #2,2019-01-20 01:14:00,187
2019-01-08 05:12:00,Operating Room #5,2019-01-08 02:32:00,188
2019-01-06 00:28:00,Operating Room #4,2019-01-05 18:36:00,189
2019-01-02 05:04:00,Operating Room #1,2019-01-02 01:48:00,190
2019-01-27 15:29:00,Operating Room #6,2019-01-27 13:25:00,191
2019-01-02 15:33:00,Operating Room #1,2019-01-02 13:29:00,192
2019-01-13 20:04:00,Operating Room #6,2019-01-13 18:42:00,193
2019-01-18 12:41:00,Operating Room #6,2019-01-18 07:11:00,194
2019-01-30 07:55:00,Operating Room #5,2019-01-30 07:11:00,195
2019-01-14 02:02:00,Operating Room #2,2019-01-13 22:34:00,196
2019-02-01 14:59:00,Operating Room #4,2019-02-01 14:18:00,197
2019-01-21 01:08:00,Operating Room #6,2019-01-20 19:22:00,198
2019-01-30 18:27:00,Operating Room #2,2019-01-30 13:20:00,199
2019-01-18 18:50:00,Operating Room #3,2019-01-18 17:05:00,200
2019-01-17 19:29:00,Operating Room #2,2019-01-17 18:37:00,201
2019-01-11 09:16:00,Operating Room #5,2019-01-11 06:39:00,202
2019-01-17 16:24:00,Operating Room #4,2019-01-17 14:49:00,203
2019-01-03 01:38:00,Operating Room #3,2019-01-03 00:44:00,204
2019-01-24 12:10:00,Operating Room #5,2019-01-24 11:18:00,205
2019-01-25 16:29:00,Operating Room #3,2019-01-25 11:29:00,206
2019-01-10 15:45:00,Operating Room #2,2019-01-10 14:57:00,207
2019-01-18 17:48:00,Operating Room #5,2019-01-18 15:12:00,208
2019-01-16 23:35:00,Operating Room #2,2019-01-16 22:16:00,209
2019-01-30 07:03:00,Operating Room #3,2019-01-30 03:44:00,210
2019-01-19 14:43:00,Operating Room #6,2019-01-19 11:27:00,211
2019-01-08 03:13:00,Operating Room #6,2019-01-08 00:44:00,212
2019-01-16 20:45:00,Operating Room #1,2019-01-16 18:09:00,213
2019-01-07 19:41:00,Operating Room #1,2019-01-07 15:40:00,214
2019-01-13 12:37:00,Operating Room #5,2019-01-13 07:04:00,215
2019-01-09 06:50:00,Operating Room #2,2019-01-09 05:29:00,216
2019-01-24 20:40:00,Operating Room #6,2019-01-24 15:54:00,217
2019-01-28 21:17:00,Operating Room #4,2019-01-28 15:51:00,218
2019-01-22 12:11:00,Operating Room #4,2019-01-22 10:20:00,219
2019-01-26 13:37:00,Operating Room #2,2019-01-26 09:39:00,220
2019-01-27 07:45:00,Operating Room #2,2019-01-27 05:15:00,221
2019-01-11 01:52:00,Operating Room #1,2019-01-11 00:43:00,222
2019-01-10 23:45:00,Operating Room #2,2019-01-10 18:53:00,223
2019-01-26 16:26:00,Operating Room #2,2019-01-26 14:39:00,224
2019-01-11 10:43:00,Operating Room #2,2019-01-11 08:23:00,225
2019-01-03 13:15:00,Operating Room #1,2019-01-03 08:31:00,226
2019-01-22 03:40:00,Operating Room #1,2019-01-21 23:15:00,227
2019-01-02 01:29:00,Operating Room #2,2019-01-01 22:15:00,228
2019-01-10 13:55:00,Operating Room #3,2019-01-10 11:24:00,229
2019-01-23 01:55:00,Operating Room #1,2019-01-22 21:08:00,230
2019-01-14 17:32:00,Operating Room #1,2019-01-14 14:13:00,231
2019-01-15 05:32:00,Operating Room #1,2019-01-15 00:31:00,232
2019-01-04 06:49:00,Operating Room #6,2019-01-04 02:18:00,233
2019-01-31 18:35:00,Operating Room #2,2019-01-31 16:56:00,234
2019-01-01 10:02:00,Operating Room #4,2019-01-01 04:56:00,235
2019-01-04 02:15:00,Operating Room #4,2019-01-03 22:05:00,236
2019-01-05 12:21:00,Operating Room #5,2019-01-05 09:22:00,237
2019-01-21 01:30:00,Operating Room #1,2019-01-21 00:59:00,238
2019-01-31 20:36:00,Operating Room #6,2019-01-31 14:59:00,239
2019-01-24 23:13:00,Operating Room #3,2019-01-24 17:52:00,240
2019-01-21 14:58:00,Operating Room #2,2019-01-21 13:46:00,241
2019-01-30 04:35:00,Operating Room #4,2019-01-30 04:12:00,242
2019-01-10 17:24:00,Operating Room #1,2019-01-10 15:53:00,243
2019-01-11 08:20:00,Operating Room #3,2019-01-11 02:28:00,244
2019-01-18 23:52:00,Operating Room #2,2019-01-18 20:20:00,245
2019-01-10 14:49:00,Operating Room #4,2019-01-10 14:19:00,246
2019-01-01 23:27:00,Operating Room #5,2019-01-01 22:14:00,247
2019-01-13 13:18:00,Operating Room #2,2019-01-13 10:02:00,248
2019-01-11 13:59:00,Operating Room #2,2019-01-11 12:21:00,249
2019-01-08 21:18:00,Operating Room #4,2019-01-08 16:11:00,250
2019-01-13 18:18:00,Operating Room #6,2019-01-13 16:30:00,251
2019-02-01 03:37:00,Operating Room #4,2019-01-31 22:40:00,252
2019-02-01 03:22:00,Operating Room #3,2019-02-01 00:14:00,253
2019-01-20 16:03:00,Operating Room #2,2019-01-20 10:56:00,254
2019-01-10 01:30:00,Operating Room #6,2019-01-09 23:12:00,255
2019-01-25 08:17:00,Operating Room #1,2019-01-25 06:23:00,256
2019-01-12 01:47:00,Operating Room #4,2019-01-11 20:53:00,257
2019-01-17 15:36:00,Operating Room #5,2019-01-17 13:41:00,258
2019-01-25 11:00:00,Operating Room #1,2019-01-25 08:23:00,259
2019-01-12 13:14:00,Operating Room #5,2019-01-12 10:03:00,260
2019-01-07 13:23:00,Operating Room #5,2019-01-07 11:24:00,261
2019-01-23 06:55:00,Operating Room #4,2019-01-23 05:16:00,262
2019-01-19 03:24:00,Operating Room #4,2019-01-19 02:42:00,263
2019-01-01 21:53:00,Operating Room #4,2019-01-01 21:10:00,264
2019-01-20 08:05:00,Operating Room #4,2019-01-20 05:54:00,265
2019-01-07 15:23:00,Operating Room #1,2019-01-07 10:50:00,266
2019-01-13 23:32:00,Operating Room #1,2019-01-13 23:16:00,267
2019-01-25 23:05:00,Operating Room #6,2019-01-25 21:09:00,268
2019-01-09 02:36:00,Operating Room #2,2019-01-08 21:02:00,269
2019-01-21 21:02:00,Operating Room #2,2019-01-21 19:47:00,270
2019-01-20 17:29:00,Operating Room #1,2019-01-20 12:31:00,271
2019-01-05 14:21:00,Operating Room #2,2019-01-05 11:02:00,272
2019-01-25 13:58:00,Operating Room #4,2019-01-25 12:30:00,273
2019-01-28 22:27:00,Operating Room #2,2019-01-28 19:39:00,274
2019-01-16 11:22:00,Operating Room #3,2019-01-16 09:42:00,275
2019-01-21 14:58:00,Operating Room #1,2019-01-21 12:10:00,276
2019-01-21 04:18:00,Operating Room #1,2019-01-21 01:48:00,277
2019-01-03 12:11:00,Operating Room #2,2019-01-03 08:12:00,278
2019-01-18 14:30:00,Operating Room #4,2019-01-18 10:37:00,279
2019-01-30 17:27:00,Operating Room #3,2019-01-30 16:25:00,280
2019-01-09 12:20:00,Operating Room #4,2019-01-09 07:43:00,281
2019-02-01 22:04:00,Operating Room #5,2019-02-01 21:46:00,282
2019-01-27 05:27:00,Operating Room #5,2019-01-27 01:54:00,283
2019-01-13 23:37:00,Operating Room #3,2019-01-13 18:37:00,284
2019-01-10 05:38:00,Operating Room #5,2019-01-10 04:52:00,285
2019-01-28 19:32:00,Operating Room #6,2019-01-28 16:23:00,286
2019-01-19 20:58:00,Operating Room #1,2019-01-19 17:42:00,287
2019-01-30 10:02:00,Operating Room #4,2019-01-30 08:25:00,288
2019-01-16 13:57:00,Operating Room #3,2019-01-16 11:49:00,289
2019-01-14 20:25:00,Operating Room #5,2019-01-14 17:15:00,290
2019-01-18 16:55:00,Operating Room #1,2019-01-18 13:36:00,291
2019-01-22 09:08:00,Operating Room #1,2019-01-22 08:43:00,292
2019-01-07 02:06:00,Operating Room #3,2019-01-06 20:32:00,293
2019-01-13 15:44:00,Operating Room #2,2019-01-13 14:20:00,294
2019-01-01 12:09:00,Operating Room #2,2019-01-01 09:01:00,295
2019-01-12 16:09:00,Operating Room #6,2019-01-12 13:10:00,296
2019-01-08 08:53:00,Operating Room #3,2019-01-08 08:32:00,297
2019-01-05 10:36:00,Operating Room #6,2019-01-05 09:36:00,298
2019-02-01 19:45:00,Operating Room #1,2019-02-01 14:58:00,299
2019-01-09 21:24:00,Operating Room #6,2019-01-09 18:36:00,300
2019-01-01 13:20:00,Operating Room #5,2019-01-01 11:44:00,301
2019-01-09 11:33:00,Operating Room #5,2019-01-09 06:19:00,302
2019-01-20 01:07:00,Operating Room #3,2019-01-19 23:14:00,303
2019-01-16 14:07:00,Operating Room #6,2019-01-16 12:57:00,304
2019-01-12 16:32:00,Operating Room #2,2019-01-12 11:52:00,305
2019-01-10 13:30:00,Operating Room #5,2019-01-10 09:57:00,306
2019-01-22 18:23:00,Operating Room #6,2019-01-22 15:28:00,307
2019-01-20 18:39:00,Operating Room #5,2019-01-20 17:16:00,308
2019-01-10 04:30:00,Operating Room #1,2019-01-09 23:13:00,309
2019-01-06 11:20:00,Operating Room #6,2019-01-06 09:12:00,310
2019-01-05 19:44:00,Operating Room #5,2019-01-05 18:39:00,311
2019-02-02 04:12:00,Operating Room #6,2019-02-01 22:12:00,312
2019-01-12 18:40:00,Operating Room #6,2019-01-12 16:36:00,313
2019-01-16 07:28:00,Operating Room #2,2019-01-16 04:01:00,314
2019-01-14 16:19:00,Operating Room #3,2019-01-14 15:01:00,315
2019-01-12 03:39:00,Operating Room #3,2019-01-12 02:28:00,316
2019-01-20 01:53:00,Operating Room #4,2019-01-19 21:09:00,317
2019-01-22 08:32:00,Operating Room #3,2019-01-22 07:41:00,318
2019-01-07 08:09:00,Operating Room #2,2019-01-07 02:17:00,319
2019-01-04 02:43:00,Operating Room #1,2019-01-03 21:43:00,320
2019-01-15 11:07:00,Operating Room #6,2019-01-15 05:41:00,321
2019-01-22 03:17:00,Operating Room #2,2019-01-22 00:17:00,322
2019-01-21 10:47:00,Operating Room #6,2019-01-21 06:33:00,323
2019-01-29 15:34:00,Operating Room #3,2019-01-29 10:47:00,324
2019-01-02 18:11:00,Operating Room #2,2019-01-02 14:14:00,325
2019-01-21 00:51:00,Operating Room #3,2019-01-20 23:40:00,326
2019-01-19 08:23:00,Operating Room #4,2019-01-19 05:44:00,327
2019-02-01 08:13:00,Operating Room #1,2019-02-01 06:17:00,328
2019-01-12 05:24:00,Operating Room #2,2019-01-12 01:37:00,329
2019-01-10 22:56:00,Operating Room #5,2019-01-10 20:59:00,330
2019-01-18 19:31:00,Operating Room #6,2019-01-18 15:36:00,331
2019-02-01 05:59:00,Operating Room #6,2019-02-01 02:09:00,332
2019-01-20 21:46:00,Operating Room #2,2019-01-20 16:22:00,333
2019-01-25 22:18:00,Operating Room #3,2019-01-25 17:20:00,334
2019-01-02 09:26:00,Operating Room #1,2019-01-02 07:55:00,335
2019-01-14 08:56:00,Operating Room #3,2019-01-14 06:28:00,336
2019-01-26 23:25:00,Operating Room #2,2019-01-26 21:20:00,337
2019-01-03 21:09:00,Operating Room #3,2019-01-03 15:45:00,338
2019-01-23 15:53:00,Operating Room #1,2019-01-23 11:01:00,339
2019-01-15 10:06:00,Operating Room #4,2019-01-15 04:08:00,340
2019-01-21 20:24:00,Operating Room #6,2019-01-21 15:51:00,341
2019-01-13 08:24:00,Operating Room #4,2019-01-13 03:27:00,342
2019-01-18 10:27:00,Operating Room #5,2019-01-18 05:21:00,343
2019-01-29 05:57:00,Operating Room #3,2019-01-29 03:01:00,344
2019-01-31 11:25:00,Operating Room #1,2019-01-31 06:48:00,345
2019-01-25 21:55:00,Operating Room #1,2019-01-25 16:34:00,346
2019-01-05 00:16:00,Operating Room #4,2019-01-04 21:20:00,347
2019-01-12 21:21:00,Operating Room #1,2019-01-12 17:37:00,348
2019-01-03 07:38:00,Operating Room #3,2019-01-03 02:12:00,349
2019-01-26 11:02:00,Operating Room #5,2019-01-26 10:45:00,350
2019-01-25 16:20:00,Operating Room #1,2019-01-25 15:03:00,351
2019-01-08 01:33:00,Operating Room #3,2019-01-07 20:39:00,352
2019-01-29 16:36:00,Operating Room #3,2019-01-29 15:37:00,353
2019-01-29 18:17:00,Operating Room #3,2019-01-29 18:01:00,354
2019-01-22 20:37:00,Operating Room #4,2019-01-22 15:57:00,355
2019-01-09 17:52:00,Operating Room #1,2019-01-09 17:02:00,356
2019-01-26 23:47:00,Operating Room #5,2019-01-26 19:31:00,357
2019-01-18 01:36:00,Operating Room #1,2019-01-17 22:10:00,358
2019-01-13 21:28:00,Operating Room #2,2019-01-13 17:59:00,359
2019-01-14 13:14:00,Operating Room #1,2019-01-14 10:49:00,360
2019-01-09 02:57:00,Operating Room #6,2019-01-08 23:58:00,361
2019-01-29 00:41:00,Operating Room #4,2019-01-28 23:17:00,362
2019-01-01 21:42:00,Operating Room #2,2019-01-01 15:58:00,363
2019-01-26 06:35:00,Operating Room #6,2019-01-26 04:39:00,364
2019-01-29 09:15:00,Operating Room #5,2019-01-29 05:26:00,365
2019-01-06 07:37:00,Operating Room #3,2019-01-06 06:40:00,366
2019-01-06 20:47:00,Operating Room #5,2019-01-06 16:18:00,367
2019-01-28 11:47:00,Operating Room #4,2019-01-28 07:00:00,368
2019-01-24 22:52:00,Operating Room #6,2019-01-24 22:15:00,369
2019-01-21 00:53:00,Operating Room #5,2019-01-20 19:06:00,370
2019-01-06 03:24:00,Operating Room #6,2019-01-06 02:30:00,371
2019-01-17 11:19:00,Operating Room #6,2019-01-17 09:56:00,372
2019-01-17 02:58:00,Operating Room #5,2019-01-16 22:58:00,373
2019-01-03 15:53:00,Operating Room #5,2019-01-03 10:24:00,374
2019-02-01 10:29:00,Operating Room #2,2019-02-01 07:28:00,375
2019-01-05 16:50:00,Operating Room #4,2019-01-05 14:07:00,376
2019-01-24 08:52:00,Operating Room #1,2019-01-24 07:30:00,377
2019-01-08 19:27:00,Operating Room #2,2019-01-08 18:07:00,378
2019-01-15 03:25:00,Operating Room #6,2019-01-15 02:36:00,379
2019-01-30 11:49:00,Operating Room #6,2019-01-30 10:40:00,380
2019-01-28 15:08:00,Operating Room #4,2019-01-28 13:11:00,381
2019-01-08 12:08:00,Operating Room #6,2019-01-08 07:09:00,382
2019-01-13 22:55:00,Operating Room #5,2019-01-13 20:15:00,383
2019-02-01 18:13:00,Operating Room #6,2019-02-01 17:56:00,384
2019-01-31 22:06:00,Operating Room #3,2019-01-31 19:46:00,385
2019-01-22 16:50:00,Operating Room #2,2019-01-22 14:31:00,386
2019-01-14 10:22:00,Operating Room #2,2019-01-14 07:01:00,387
